ABCB1	ENSG00000085563
TAP1	ENSG00000168394
TAP2	ENSG00000204267
TAPBP	ENSG00000231925
TBL1XR1	ENSG00000177565
TBX3	ENSG00000135111
TCF12	ENSG00000140262
TCF3	ENSG00000071564
TCF7L2	ENSG00000148737
TCL1A	ENSG00000100721
TCL1B	ENSG00000213231
TDG	ENSG00000139372
TEK	ENSG00000120156
TENT5C	ENSG00000183508
TENT5D	ENSG00000174016
TERC	ENSG00000270141
TERF1	ENSG00000147601
TERT	ENSG00000164362
TET1	ENSG00000138336
TET2	ENSG00000168769
TET3	ENSG00000187605
TFE3	ENSG00000068323
TFEB	ENSG00000112561
TFG	ENSG00000114354
TGFBR1	ENSG00000106799
TGFBR2	ENSG00000163513
TGIF1	ENSG00000177426
THADA	ENSG00000115970
THRAP3	ENSG00000054118
TIPARP	ENSG00000163659
TLL2	ENSG00000095587
TLR4	ENSG00000136869
TLR9	ENSG00000239732
TLX3	ENSG00000164438
TMEM127	ENSG00000135956
TMEM30A	ENSG00000112697
TMPRSS2	ENSG00000184012
TMSB4X	ENSG00000205542
TMSB4XP8	ENSG00000187653
TNFAIP3	ENSG00000118503
TNFRSF11A	ENSG00000141655
TNFRSF14	ENSG00000157873
TNFRSF17	ENSG00000048462
TNFRSF18	ENSG00000186891
TNFRSF4	ENSG00000186827
TNFRSF9	ENSG00000049249
TOP1	ENSG00000198900
TOP2A	ENSG00000131747
TP53BP1	ENSG00000067369
TP53	ENSG00000141510
TP63	ENSG00000073282
TPMT	ENSG00000137364
TPTE2	ENSG00000132958
TRAF2	ENSG00000127191
TRAF3	ENSG00000131323
TRAF5	ENSG00000082512
TRAF7	ENSG00000131653
TRIP13	ENSG00000071539
TRPA1	ENSG00000104321
TSC1	ENSG00000165699
TSC2	ENSG00000103197
TSHR	ENSG00000165409
TSLP	ENSG00000145777
TUSC3	ENSG00000104723
TXNIP	ENSG00000265972
TYK2	ENSG00000105397
TYRO3	ENSG00000092445
U2AF1	ENSG00000160201
U2AF2	ENSG00000063244
UBE2T	ENSG00000077152
UBR5	ENSG00000104517
UNCX	ENSG00000164853
USP6	ENSG00000129204
USP8	ENSG00000138592
USP9X	ENSG00000124486
VAV1	ENSG00000141968
VEGFA	ENSG00000112715
VHL	ENSG00000134086
VTCN1	ENSG00000134258
WAS	ENSG00000015285
WDR90	ENSG00000161996
WEE1	ENSG00000166483
WIF1	ENSG00000156076
WNK2	ENSG00000165238
WRN	ENSG00000165392
WT1	ENSG00000184937
WWTR1	ENSG00000018408
XBP1	ENSG00000100219
XIAP	ENSG00000101966
XPA	ENSG00000136936
XPC	ENSG00000154767
XPO1	ENSG00000082898
XRCC1	ENSG00000073050
XRCC2	ENSG00000196584
XRCC3	ENSG00000126215
YAP1	ENSG00000137693
YEATS4	ENSG00000127337
YES1	ENSG00000176105
YWHAE	ENSG00000108953
YY1AP1	ENSG00000163374
ZBTB20	ENSG00000181722
ZBTB2	ENSG00000181472
ZBTB7B	ENSG00000160685
ZC3H12A	ENSG00000163874
ZCCHC12	ENSG00000174460
ZFHX3	ENSG00000140836
ZFP36L1	ENSG00000185650
ZFP36L2	ENSG00000152518
ZMYM2	ENSG00000121741
ZMYM3	ENSG00000147130
ZNF133	ENSG00000125846
ZNF217	ENSG00000171940
ZNF24	ENSG00000172466
ZNF384	ENSG00000126746
ZNF703	ENSG00000183779
ZNF750	ENSG00000141579
ZNRF3	ENSG00000183579
ZRANB3	ENSG00000121988
ZRSR2	ENSG00000169249
